Ano,Mes,Maxima_Energia_Armazenada,Energia_Armazenada_Verificada,Porcentagem_Armazenamento_Total,Subsistema,Consumo_Mensal
2011,1,200108.0,112249.03225806459,56.094516385483828,Sudeste / Centro-Oeste,2481977.972222222
2011,1,19735.0,14703.677419354824,74.5067741635484,Sul,772821.38888888888
2011,2,51809.0,31494.714285714308,60.792143003928565,Nordeste,606418.20555555553
2011,2,12415.0,8148.9642857142862,65.640000207142791,Norte,215035.60555555555
2011,2,200108.0,130776.10714285707,65.352857044642832,Sudeste / Centro-Oeste,2247658.1166666667
2011,2,19735.0,17476.642857142862,88.556428364285722,Sul,724095.6333333333
2011,3,51809.0,35236.290322580637,68.01161329225809,Nordeste,732999.2625
2011,3,12415.0,12024.225806451606,96.85451655322592,Norte,255840.50277777779
2011,3,200108.0,154055.83870967719,76.986451672257985,Sudeste / Centro-Oeste,2520127.8638888891
2011,3,19735.0,17820.193548387084,90.299354307419364,Sul,788611.62638888892
2011,4,51809.0,43377.733333333337,83.727333323333525,Nordeste,702802.58333333337
2011,4,12415.0,12281.233333333326,98.924666340333332,Norte,246584.16666666666
2011,4,200108.0,172539.93333333306,86.223000590333356,Sudeste / Centro-Oeste,2434380.25
2011,4,19735.0,18080.26666666667,91.616333261999969,Sul,733689.41666666663
2011,5,51809.0,46842.903225806556,90.414839467419384,Nordeste,715823.49722222227
2011,5,12415.0,12335.87096774193,99.363871175483808,Norte,260071.35694444444
2011,5,200117.35483870984,176892.06451612947,88.39387143064522,Sudeste / Centro-Oeste,2461483.3125
2011,5,19735.0,16137.580645161308,81.772580547096837,Sul,752911.85416666663
2011,6,51809.0,45475.833333333387,87.777333323333352,Nordeste,682257.70833333337
2011,6,12415.0,11833.100000000015,95.315333812000091,Norte,259875.29166666666
2011,6,200166.0,173656.16666666677,86.75666631066666,Sudeste / Centro-Oeste,2349890.5833333335
2011,6,19735.0,13052.033333333326,66.136999765333385,Sul,712483.70833333337
2011,7,51809.0,42792.61290322576,82.597420230967529,Nordeste,719810.44166666665
2011,7,12415.0,11400.322580645166,91.828386614193533,Norte,271168.02222222224
2011,7,200166.0,166086.7419354835,82.9745158541937,Sudeste / Centro-Oeste,2433345.4305555555
